SKU,Nombre del Producto,Categoría,Subcategoría,Marca,Precio Base,Descripción,URL de la Imagen,Colores,Tiendas,Modalidades,URL,Activo,Material,Color,Medida,Cantidad Paquete,Biodegradable,Apto Microondas,Apto Congelador,Usos Recomendados
PROD-17102,Vaso Biodegradable 16oz PLA,BIODEGRADABLES,Eco-Friendly,EcoProducts,720,Vaso transparente hecho de PLA (ácido poliláctico),,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|720|Paquete 50pz|50 vasos;Mayoreo|610|Caja 1000pz|1000 vasos,,true,PLA (Ácido Poliláctico),Transparente,16 oz (473 ml),50 vasos,Sí,No,Sí,Bebidas frías compostables
PROD-17103,Bowl Biodegradable 24oz,BIODEGRADABLES,Eco-Friendly,World Centric,880,Bowl para sopas y ensaladas compostable,,Natural,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|880|Paquete 25pz|25 bowls;Mayoreo|750|Caja 500pz|500 bowls,,true,Bagazo de caña,Natural,24 oz (710 ml),25 bowls,Sí,Sí,No,Sopas y ensaladas calientes
PROD-17104,Popote Biodegradable Papel,BIODEGRADABLES,Eco-Friendly,Aardvark,290,Popote de papel resistente,,Natural;Rayado,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|290|Paquete 100pz|100 popotes;Mayoreo|250|Caja 5000pz|5000 popotes,,true,Papel kraft,Natural/Rayado,20 cm,100 popotes,Sí,No,No,Bebidas frías y calientes
PROD-17105,Tapa Biodegradable para Vaso,BIODEGRADABLES,Eco-Friendly,EcoProducts,450,Tapa compostable para vasos calientes,,Natural,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|450|Paquete 100pz|100 tapas;Mayoreo|380|Caja 1000pz|1000 tapas,,true,PLA (Ácido Poliláctico),Natural,Compatible 12-16oz,100 tapas,Sí,No,No,Bebidas calientes para llevar
PROD-17106,Contenedor Biodegradable 32oz,BIODEGRADABLES,Eco-Friendly,World Centric,1100,Contenedor rectangular con tapa,,Natural,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|1100|Paquete 10pz|10 contenedores;Mayoreo|940|Caja 200pz|200 contenedores,,true,Bagazo de caña,Natural,32 oz (946 ml),10 contenedores,Sí,Sí,No,Comidas para llevar
PROD-17107,Plato Hondo Biodegradable 12oz,BIODEGRADABLES,Eco-Friendly,EcoProducts,820,Plato hondo para sopas,,Natural,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|820|Paquete 25pz|25 platos;Mayoreo|700|Caja 500pz|500 platos,,true,Bagazo de caña,Natural,12 oz (355 ml),25 platos,Sí,Sí,No,Sopas y caldos
PROD-18200,Bolsa Camiseta Blanca Grande,BOLSAS,Transporte,Plastimark,380,Bolsa tipo camiseta resistente,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|380|Paquete 100pz|100 bolsas;Mayoreo|320|Caja 1000pz|1000 bolsas,,true,Polietileno HD,Blanco,40 x 60 cm,100 bolsas,No,No,Sí,Transporte de compras
PROD-18201,Bolsa Basura 90x120 Negra,BOLSAS,Basura,Glad,1250,Bolsa para basura industrial calibre 200,,Negro,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|1250|Rollo 10pz|10 bolsas;Mayoreo|1060|Caja 10 rollos|100 bolsas,,true,Polietileno LD,Negro,90 x 120 cm,10 bolsas,No,No,No,Basura pesada industrial
PROD-18202,Bolsa Ziplock Galón,BOLSAS,Resellables,Ziploc,580,Bolsa resellable de 1 galón,,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|580|Caja 25pz|25 bolsas;Mayoreo|490|Caja 500pz|500 bolsas,,true,Polietileno,Transparente,1 galón (3.8 L),25 bolsas,No,Sí,Sí,Almacenamiento de alimentos
PROD-18203,Bolsa Kraft con Asa,BOLSAS,Transporte,EcoBag,720,Bolsa de papel kraft con asas,,Kraft,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|720|Paquete 25pz|25 bolsas;Mayoreo|610|Caja 500pz|500 bolsas,,true,Papel kraft,Marrón,32 x 26 x 12 cm,25 bolsas,Sí,No,No,Transporte ecológico
PROD-18204,Bolsa Transparente 20x30,BOLSAS,Transporte,Plastimark,290,Bolsa lisa transparente,,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|290|Paquete 100pz|100 bolsas;Mayoreo|250|Caja 1000pz|1000 bolsas,,true,Polietileno,Transparente,20 x 30 cm,100 bolsas,No,No,Sí,Empaque general
PROD-18205,Rollo Bolsa en Bobina,BOLSAS,Transporte,Plastimark,850,Rollo de 100 bolsas,,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|850|Rollo 100pz|100 bolsas;Mayoreo|720|Caja 10 rollos|1000 bolsas,,true,Polietileno,Transparente,25 x 35 cm,100 bolsas,No,No,Sí,Uso comercial
PROD-18206,Bolsa Biodegradable Camiseta,BOLSAS,Transporte,BioBag,520,Bolsa compostable tipo camiseta,,Verde,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|520|Paquete 100pz|100 bolsas;Mayoreo|440|Caja 1000pz|1000 bolsas,,true,Almidón de maíz,Verde,35 x 45 cm,100 bolsas,Sí,No,No,Compras ecológicas
PROD-18207,Bolsa Negra Reforzada 60x90,BOLSAS,Basura,Glad,980,Bolsa extra resistente,,Negro,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|980|Rollo 10pz|10 bolsas;Mayoreo|830|Caja 10 rollos|100 bolsas,,true,Polietileno LD reforzado,Negro,60 x 90 cm,10 bolsas,No,No,No,Basura media y pesada
PROD-19300,Charola Pastel Redonda con Domo,COCINA Y REPOSTERÍA,Presentación,Dart,1450,Charola transparente para pasteles,,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|1450|Pieza|1 charola;Mayoreo|1230|Caja 50pz|50 charolas,,true,PET,Transparente,30 cm diámetro,1 charola,No,No,Sí,Presentación de pasteles
PROD-19301,Plato Dorado Base Pastel 10,COCINA Y REPOSTERÍA,Presentación,Wilton,1000,Base rígida para pasteles,,Dorado;Plateado,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|1000|Paquete 10pz|10 bases;Mayoreo|850|Caja 100pz|100 bases,,true,Cartón laminado,Dorado,10 pulgadas,10 bases,No,No,No,Soporte de pasteles
PROD-19302,Contenedor Aluminio 1lb,COCINA Y REPOSTERÍA,Envoltorios,Durable,420,Contenedor rectangular de aluminio,,Plateado,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|420|Paquete 25pz|25 contenedores;Mayoreo|360|Caja 500pz|500 contenedores,,true,Aluminio,Plateado,1 lb (450g),25 contenedores,No,Sí,Sí,Comidas calientes y frías
PROD-19303,Charola Foam 10x6,COCINA Y REPOSTERÍA,Presentación,Genpak,290,Charola para alimentos,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|290|Paquete 50pz|50 charolas;Mayoreo|250|Caja 1000pz|1000 charolas,,true,Poliestireno expandido,Blanco,10 x 6 pulgadas,50 charolas,No,Sí,No,Carnes y alimentos frescos
PROD-19304,Caja Pizza 14 Corrugado,COCINA Y REPOSTERÍA,Envoltorios,PizzaPack,680,Caja para pizza de 14 pulgadas,,Kraft,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|680|Paquete 10pz|10 cajas;Mayoreo|580|Caja 100pz|100 cajas,,true,Cartón corrugado,Kraft,14 pulgadas,10 cajas,Sí,No,No,Pizzas y alimentos planos
PROD-19305,Film Adherente 300m,COCINA Y REPOSTERÍA,Envoltorios,Reynolds,1580,Rollo de film transparente,,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|1580|Rollo|1 rollo;Mayoreo|1340|Caja 6 rollos|6 rollos,,true,PVC,Transparente,300 metros x 30cm,1 rollo (300m),No,Sí,Sí,Conservación de alimentos
PROD-19306,Papel Aluminio Rollo 30cm,COCINA Y REPOSTERÍA,Envoltorios,Reynolds,980,Rollo de papel aluminio,,Plateado,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|980|Rollo|1 rollo;Mayoreo|830|Caja 12 rollos|12 rollos,,true,Aluminio,Plateado,30cm x 100m,1 rollo (100m),No,Sí,Sí,Cocción y conservación
PROD-19307,Papel Encerado 50m,COCINA Y REPOSTERÍA,Envoltorios,Reynolds,720,Papel para hornear,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|720|Rollo|1 rollo;Mayoreo|610|Caja 12 rollos|12 rollos,,true,Papel encerado,Blanco,30cm x 50m,1 rollo (50m),No,Sí,Sí,Horneado y repostería
PROD-20400,Refresco Pacifico 355ml,ALIMENTOS,Bebidas,Pacifico,180,Refresco de naranja,,Naranja,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|180|Pieza|1 lata;Mayoreo|150|Caja 24pz|24 latas,,true,Lata de aluminio,Naranja,355 ml,1 lata,No,No,Sí,Bebida refrescante
PROD-20401,Agua Embotellada 500ml,ALIMENTOS,Bebidas,Bonafont,120,Agua purificada,,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|120|Pieza|1 botella;Mayoreo|100|Caja 24pz|24 botellas,,true,PET,Transparente,500 ml,1 botella,No,No,No,Hidratación
PROD-20402,Jugo de Manzana 1L,ALIMENTOS,Bebidas,Del Valle,280,Jugo natural de manzana,,Rojo,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|280|Pieza|1 litro;Mayoreo|240|Caja 12pz|12 litros,,true,Tetra Pak,Rojo,1 litro,1 envase,No,No,No,Bebida saludable
PROD-20403,Galletas Marías 200g,ALIMENTOS,Comestibles,Gamesa,150,Galletas tradicionales,,Amarillo,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|150|Paquete|1 paquete;Mayoreo|130|Caja 20pz|20 paquetes,,true,Polipropileno,Amarillo,200 gramos,1 paquete,No,No,No,Snack diario
PROD-20404,Pan de Caja Blanco,ALIMENTOS,Comestibles,Bimbo,420,Pan de caja grande,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|420|Pieza|1 pan;Mayoreo|360|Caja 12pz|12 panes,,true,Bolsa de plástico,Blanco,680 gramos,1 bolsa,No,No,Sí,Desayunos y sandwiches
PROD-20405,Jugo Naranja Natural 1L,ALIMENTOS,Bebidas,Jumex,320,Jugo de naranja recién exprimida,,Naranja,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|320|Pieza|1 litro;Mayoreo|270|Caja 12pz|12 litros,,true,Tetra Pak,Naranja,1 litro,1 envase,No,No,Sí,Desayuno saludable
PROD-20406,Refresco Cola 600ml,ALIMENTOS,Bebidas,Coca-Cola,220,Refresco de cola,,Rojo,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|220|Pieza|1 botella;Mayoreo|190|Caja 24pz|24 botellas,,true,PET,Rojo,600 ml,1 botella,No,No,Sí,Bebida refrescante
PROD-20407,Chips Papas 150g,ALIMENTOS,Comestibles,Sabritas,380,Papas fritas sal,,Amarillo,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|380|Bolsa|1 bolsa;Mayoreo|320|Caja 24pz|24 bolsas,,true,Polipropileno metalizado,Amarillo,150 gramos,1 bolsa,No,No,No,Snack salado
PROD-21500,Papel Higiénico Yofi 280 hojas,HIGIÉNICOS Y SERVILLETAS,Papel Higiénico,Yofi,850,Paquete 4 rollos doble hoja,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|850|Paquete 4 rollos|4 rollos;Mayoreo|720|Paquete 48 rollos|48 rollos,,true,Celulosa virgen,Blanco,280 hojas/rollo,4 rollos,No,No,No,Higiene personal
PROD-21501,Servilleta Blanca 500 piezas,HIGIÉNICOS Y SERVILLETAS,Servilletas,Kleenex,480,Servilletas blancas económicas,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|480|Paquete 500pz|500 servilletas;Mayoreo|410|Caja 10 paquetes|5000 servilletas,,true,Papel tissue,Blanco,33 x 33 cm,500 servilletas,No,No,No,Comidas y eventos
PROD-21502,Toalla Interdoblada Blanca,HIGIÉNICOS Y SERVILLETAS,Toallas,Kimberly,680,Paquete 2400 hojas,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|680|Paquete 2400 hojas|2400 hojas;Mayoreo|580|Caja 6 paquetes|14400 hojas,,true,Celulosa,Blanco,20 x 21 cm,2400 hojas,No,No,No,Secado de manos
PROD-21503,Papel Higiénico Jumbo,HIGIÉNICOS Y SERVILLETAS,Papel Higiénico,Scott,1200,Rollo institucional 500m,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|1200|Rollo|1 rollo;Mayoreo|1020|Caja 6 rollos|6 rollos,,true,Celulosa,Blanco,500 metros,1 rollo,No,No,No,Uso institucional
PROD-21504,Servilleta Café Reciclada,HIGIÉNICOS Y SERVILLETAS,Servilletas,EcoServ,420,Servilletas ecológicas 1000pz,,Café,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|420|Paquete 1000pz|1000 servilletas;Mayoreo|360|Caja 10 paquetes|10000 servilletas,,true,Papel reciclado,Café,30 x 30 cm,1000 servilletas,Sí,No,No,Uso ecológico
PROD-21505,Toalla Rollo Cocina,HIGIÉNICOS Y SERVILLETAS,Toallas,Bounty,580,Toalla absorbente 2 rollos,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|580|Paquete 2 rollos|2 rollos;Mayoreo|490|Caja 12 rollos|12 rollos,,true,Celulosa triple hoja,Blanco,80 hojas/rollo,2 rollos,No,No,No,Limpieza de cocina
PROD-21506,Dispensador Servilletas,HIGIÉNICOS Y SERVILLETAS,Accesorios,Georgia,380,Dispensador de plástico negro,,Negro,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|380|Pieza|1 dispensador;Mayoreo|320|Caja 10pz|10 dispensadores,,true,Plástico ABS,Negro,30 x 15 x 15 cm,1 dispensador,No,No,No,Dispensar servilletas
PROD-21507,Pañuelo Facial 100 piezas,HIGIÉNICOS Y SERVILLETAS,Otros,Kleenex,290,Caja pañuelos faciales,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|290|Caja|1 caja;Mayoreo|250|Paquete 12 cajas|12 cajas,,true,Papel tissue suave,Blanco,21 x 21 cm,100 pañuelos,No,No,No,Higiene facial
